movie_id,avg_sentiment_score,num_reviews,normalized_sentiment
tt1049413,0.8733717,110,0.8481303
tt10530900,0.9609862,52,0.9544634
tt10541088,0.9127292,61,0.89589643
tt10590066,0.91148823,59,0.8943903
tt10648342,0.657865,50,0.5865809
tt1073498,0.31459364,56,0.16997023
tt1078912,0.72876024,64,0.6726228
tt10801534,0.92636615,59,0.91244686
tt10802170,0.91709507,59,0.90119505
tt10834220,0.83711815,64,0.8041312
tt10839422,0.686743,32,0.6216287
tt10850932,0.9362122,54,0.92439646
tt10872600,0.9111231,63,0.8939472
tt10886166,0.24679187,55,0.08768273
tt10888594,0.30327827,56,0.15623735
tt10970762,0.774021,54,0.7275535
tt1098327,0.32048237,61,0.17711708
tt10986410,0.8878559,53,0.86570895
tt11083552,0.7675825,55,0.7197393
tt11126994,0.9487781,55,0.9396471
tt11192306,0.8812222,60,0.85765797
tt11198330,0.805383,53,0.7656159
tt1124373,0.91274256,52,0.8959126
tt11247158,0.90323055,59,0.88436836
tt11280740,0.93364173,52,0.92127687
tt1130884,0.916508,110,0.90048254
tt11378946,0.9055463,55,0.8871789
tt11762434,0.3187197,54,0.17497784
tt11815682,0.8674079,62,0.8408923
tt1187043,0.89659035,134,0.8763095
tt11873440,0.26954502,56,0.11529705
tt1190634,0.91355497,57,0.89689857
tt1196946,0.8982774,53,0.878357
tt12004706,0.9442368,56,0.93413556
tt12014840,0.9985066,2,1.0
tt1201607,0.9273576,51,0.91365016
tt12042730,0.8040849,108,0.7640404
tt1205489,0.91388106,64,0.89729434
tt12074628,0.9151742,55,0.89886373
tt1213644,0.18890622,56,0.017429918
tt12300742,0.81429946,54,0.77643734
tt12343534,0.9118386,57,0.8948155
tt12392504,0.92373145,56,0.90924925
tt1255953,0.9272381,114,0.91350514
tt1266020,0.9304406,53,0.91739184
tt12747748,0.6999703,60,0.63768196
tt12908150,0.8872397,51,0.8649611
tt12915716,0.25223908,70,0.09429373
tt1291584,0.92374396,53,0.90926445
tt12996154,0.34670871,54,0.20894663
tt1305806,0.887137,52,0.86483645
tt1305826,0.94391125,57,0.93374044
tt13111040,0.9146939,60,0.89828086
tt13138834,0.92328936,57,0.90871274
tt1316037,0.3603546,52,0.22550794
tt13186306,0.30771008,53,0.16161601
tt13309742,0.94730455,67,0.9378587
tt13361448,0.8289977,55,0.79427576
tt13406094,0.8410025,57,0.80884546
tt1341338,0.7567802,56,0.70662916
tt1345836,0.89310575,110,0.87208045
tt1355642,0.90839773,55,0.89063954
tt13675832,0.8777202,56,0.85340774
tt1375666,0.9207054,126,0.9055767
tt13819960,0.5343543,54,0.4366824
tt13868972,0.9435287,61,0.9332762
tt13875494,0.7815533,58,0.73669505
tt13918776,0.79811096,67,0.75679016
tt1392190,0.8670973,56,0.8405154
tt1392214,0.9245983,67,0.91030127
tt13991232,0.8985983,51,0.87874645
tt1399664,0.8580415,66,0.8295248
tt14107334,0.8044113,54,0.76443654
tt1411664,0.43518195,55,0.31632203
tt14121726,0.25036615,57,0.09202065
tt14186672,0.7290911,54,0.67302436
tt14364480,0.7740691,51,0.7276118
tt14392248,0.90169024,51,0.882499
tt14403178,0.8984526,59,0.8785696
tt14452776,0.8509891,71,0.82096565
tt14513804,0.56659013,65,0.47580534
tt14586350,0.84566265,56,0.8145012
tt14688458,0.857956,51,0.829421
tt14723224,0.4308547,22,0.31107026
tt1475582,0.9431479,52,0.932814
tt14857528,0.526735,52,0.42743522
